Episode 10000	Average Score: 191.901	Min Score: 32.962	Max Score: 600.551
Episode 10050	Average Score: 196.869	Min Score: 19.631	Max Score: 441.201
Episode 10100	Average Score: 210.839	Min Score: 39.121	Max Score: 637.459
Episode 10150	Average Score: 231.935	Min Score: 22.803	Max Score: 737.390
Episode 10200	Average Score: 209.167	Min Score: 25.433	Max Score: 706.513
Episode 10250	Average Score: 199.041	Min Score: 20.564	Max Score: 934.422
Episode 10300	Average Score: 223.834	Min Score: 29.792	Max Score: 713.322
Episode 10350	Average Score: 260.581	Min Score: 25.274	Max Score: 931.678
Episode 10400	Average Score: 265.781	Min Score: 22.366	Max Score: 645.310
Episode 10450	Average Score: 279.880	Min Score: 35.616	Max Score: 1209.460

Environment solved in 10470 episodes!	Average Score: 300.668
