agent.LR=5e-4
agent.GRADIENT_CLIP=5
agent.EPOCHS=8
agent.BATCH_SIZE=64
agent.GAMMA=0.99
agent.GAE_TAU=0.95
agent.CLIP_EPSILON=0.2
agent.C1 = 0.5
agent.C2 = 1
scores = train(agent, n_episodes=100000, max_t=1010, train_mode=True)

Episode 9650	Average Score: 689.763	Min Score: 18.522	Max Score: 1219.363
Episode 9700	Average Score: 673.942	Min Score: 34.713	Max Score: 1242.131
Episode 9750	Average Score: 671.811	Min Score: 35.331	Max Score: 1267.347
Episode 9800	Average Score: 729.452	Min Score: 35.612	Max Score: 1317.433
Episode 9850	Average Score: 749.433	Min Score: 63.162	Max Score: 1277.178
Episode 9900	Average Score: 688.224	Min Score: 36.313	Max Score: 1236.314
Episode 9950	Average Score: 668.588	Min Score: 28.756	Max Score: 1294.302
Episode 10000	Average Score: 735.779	Min Score: 41.870	Max Score: 1295.140
Episode 10050	Average Score: 759.689	Min Score: 22.583	Max Score: 1268.732
Episode 10100	Average Score: 755.525	Min Score: 11.843	Max Score: 1278.598
Episode 10150	Average Score: 747.654	Min Score: 20.932	Max Score: 1330.608
Episode 10200	Average Score: 739.642	Min Score: 56.385	Max Score: 1327.799
Episode 10250	Average Score: 727.530	Min Score: 31.793	Max Score: 1308.023
Episode 10300	Average Score: 704.631	Min Score: 37.030	Max Score: 1343.321
Episode 10350	Average Score: 740.730	Min Score: 24.433	Max Score: 1317.108
Episode 10400	Average Score: 789.532	Min Score: 27.079	Max Score: 1372.228
Episode 10450	Average Score: 796.012	Min Score: 29.237	Max Score: 1352.077
Episode 10500	Average Score: 773.781	Min Score: 27.429	Max Score: 1340.429
Episode 10550	Average Score: 787.513	Min Score: 41.266	Max Score: 1333.652
Episode 10600	Average Score: 770.362	Min Score: 32.554	Max Score: 1351.687
Episode 10650	Average Score: 773.809	Min Score: 22.882	Max Score: 1341.064
Episode 10700	Average Score: 730.398	Min Score: 60.395	Max Score: 1371.328
Episode 10750	Average Score: 671.073	Min Score: 12.342	Max Score: 1377.561
Episode 10800	Average Score: 691.545	Min Score: 32.076	Max Score: 1379.614
Episode 10850	Average Score: 733.118	Min Score: 15.971	Max Score: 1369.902
Episode 10900	Average Score: 797.279	Min Score: 18.760	Max Score: 1353.698
Episode 10950	Average Score: 814.978	Min Score: 30.803	Max Score: 1388.097
Episode 11000	Average Score: 816.743	Min Score: 41.858	Max Score: 1411.251
Episode 11050	Average Score: 898.892	Min Score: 31.338	Max Score: 1437.030
Episode 11100	Average Score: 911.301	Min Score: 34.441	Max Score: 1426.208
Episode 11150	Average Score: 872.684	Min Score: 27.901	Max Score: 1436.094
